terrestrial_date,min_temp
2012-08-16,-75.0
2012-08-17,-76.0
2012-08-18,-76.0
2012-08-19,-74.0
2012-08-20,-74.0
2012-08-21,-78.0
2012-08-22,-77.0
2012-08-23,-76.0
2012-08-27,-74.0
2012-08-28,-74.0
2012-08-29,-75.0
2012-08-30,-75.0
2012-08-31,-75.0
2012-09-01,-76.0
2012-09-02,-75.0
2012-09-03,-75.0
2012-09-04,-75.0
2012-09-05,-74.0
2012-09-06,-74.0
2012-09-08,-73.0
2012-09-10,-73.0
2012-09-11,-73.0
2012-09-12,-73.0
2012-09-13,-73.0
2012-09-14,-73.0
2012-09-15,-75.0
2012-09-16,-75.0
2012-09-17,-75.0
2012-09-18,-75.0
2012-09-19,-74.0
2012-09-20,-75.0
2012-09-21,-74.0
2012-09-22,-74.0
2012-09-23,-75.0
2012-09-24,-75.0
2012-09-25,-74.0
2012-09-26,-72.0
2012-09-27,-76.0
2012-09-28,-74.0
2012-09-29,-71.0
2012-09-30,-72.0
2012-10-01,-74.0
2012-10-02,-73.0
2012-10-03,-73.0
2012-10-04,-74.0
2012-10-05,-76.0
2012-10-06,-75.0
2012-10-07,-72.0
2012-10-08,-72.0
2012-10-09,-73.0
2012-10-10,-74.0
2012-10-11,-72.0
2012-10-12,-73.0
2012-10-13,-73.0
2012-10-14,-71.0
2012-10-15,-73.0
2012-10-17,-72.0
2012-10-18,-71.0
2012-10-19,-73.0
2012-10-20,-70.0
2012-10-21,-72.0
2012-10-22,-73.0
2012-10-23,-73.0
2012-10-24,-71.0
2012-10-25,-71.0
2012-10-26,-73.0
2012-10-27,-70.0
2012-10-28,-72.0
2012-10-29,-72.0
2012-10-30,-72.0
2012-10-31,-70.0
2012-11-01,-71.0
2012-11-02,-71.0
2012-11-03,-70.0
2012-11-04,-70.0
2012-11-05,-73.0
2012-11-06,-71.0
2012-11-07,-74.0
2012-11-08,-74.0
2012-11-09,-72.0
2012-11-10,-70.0
2012-11-11,-68.0
2012-11-12,-71.0
2012-11-13,-68.0
2012-11-14,-68.0
2012-11-15,-68.0
2012-11-16,-66.0
2012-11-17,-65.0
2012-11-18,-67.0
2012-11-19,-66.0
2012-11-20,-67.0
2012-11-21,-66.0
2012-11-23,-66.0
2012-11-24,-66.0
2012-11-25,-65.0
2012-11-26,-64.0
2012-11-27,-65.0
2012-11-28,-66.0
2012-11-29,-65.0
